density,fert_rate,global_rank,median_age,migrants,perc_pop_worldwide,population,urban_pop,urban_pop_perc,world_pop,year,yearly_change,yearly_perc_change
312,3.35,5,20.6,-165988,2.99,240485658,83500516,34.7,8045311447,2023-01-01 00:00:00,4660796,1.98
306,3.41,5,20.4,-165988,2.96,235824862,81432849,34.5,7975105156,2022-01-01 00:00:00,4422745,1.91
295,3.56,5,20.0,-588736,2.9,227196741,77437729,34.1,7840952880,2020-01-01 00:00:00,3903461,1.75
274,3.9,5,19.4,-2172159,2.84,210969298,68226783,32.3,7426597537,2015-01-01 00:00:00,3302960,1.64
252,4.3,6,18.8,-431891,2.78,194454498,59691513,30.7,6985603105,2010-01-01 00:00:00,4016480,2.2
226,4.64,6,17.9,-632467,2.66,174372098,52301807,30.0,6558176119,2005-01-01 00:00:00,4000435,2.47
200,5.26,6,17.2,940739,2.51,154369924,45687389,29.6,6148898975,2000-01-01 00:00:00,4250490,3.01
173,5.89,7,16.7,296208,2.32,133117476,39104110,29.4,5743219454,1995-01-01 00:00:00,3540681,2.9
150,6.36,8,17.1,30184,2.17,115414069,32923693,28.5,5316175862,1990-01-01 00:00:00,3658503,3.51
126,6.59,8,17.4,282435,2.0,97121552,27060895,27.9,4861730613,1985-01-01 00:00:00,3299499,3.79
105,6.73,9,17.2,1078233,1.81,80624057,21910455,27.2,4444007706,1980-01-01 00:00:00,2499412,3.43
88,6.81,10,16.8,-3437,1.67,68126999,17592808,25.8,4069437231,1975-01-01 00:00:00,1767225,2.82
77,6.8,10,17.2,-116631,1.6,59290872,14416426,24.3,3695390336,1970-01-01 00:00:00,1489849,2.72
67,6.8,13,18.0,-124241,1.55,51841626,11954323,23.1,3337111983,1965-01-01 00:00:00,1177480,2.44
60,6.8,12,18.4,0,1.52,45954226,9926658,21.6,3019233434,1960-01-01 00:00:00,986220,2.3
53,6.8,13,18.6,0,1.49,41023128,7968418,19.4,2746072141,1955-01-01 00:00:00,665373,1.71
